mcc_code,mcc_description,koho_category,travel_category,community,degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,neighbors
3016,SAS,Travel,Air Carrier,2,8,0.000277589,0.505747126,0.060503629,"[7011, 3000, 3005, 3009, 3211, 4411, 4511, 4722]"
3219,COPA,Travel,Air Carrier,0,5,0,0.481751825,0.041485326,"[7011, 3058, 3180, 3690, 4511]"
3058,DELTA,Travel,Air Carrier,0,33,0.010474348,0.568965517,0.164235778,"[7011, 4722, 4511, 3009, 3001, 3000, 4582, 3256, 3501, 4411, 3219, 3502, 3509, 3510, 3690, 3076, 3180, 3260, 3504, 3513, 3551, 3590, 3640, 3642, 3649, 3665, 3692, 3703, 3715, 3740, 3771, 3782, 3783]"
3029,SABENA,Travel,Air Carrier,2,6,0,0.498113208,0.049396191,"[3000, 3211, 3690, 4511, 4722, 7011]"
3039,AVIANCA,Travel,Air Carrier,4,7,2.31E-05,0.503816794,0.0607202,"[3009, 3180, 3256, 3504, 4511, 4722, 7011]"
3700,MOTEL 6,Travel,Hotel,3,9,0.001256248,0.483516484,0.038752275,"[7011, 3001, 3009, 3260, 3553, 3613, 3631, 3644, 3660]"
3012,QUANTAS,Travel,Air Carrier,0,3,0,0.487084871,0.033562682,"[3009, 7011, 4722]"
3260,AIRLINES,Travel,Air Carrier,3,13,0.015969207,0.515625,0.075867739,"[4722, 7011, 4511, 3001, 3009, 3058, 3132, 3174, 3180, 3256, 3602, 3700, 3769]"
3180,AIRLINES,Travel,Air Carrier,0,36,0.012940241,0.576419214,0.173031717,"[4511, 4722, 7011, 3009, 3000, 3502, 3509, 3581, 3001, 3256, 3665, 3690, 3703, 4582, 3008, 3034, 3035, 3039, 3047, 3058, 3196, 3219, 3260, 3501, 3504, 3510, 3530, 3552, 3615, 3637, 3642, 3709, 3740, 4131, 4411, 7012]"
3245,AIRLINES,Travel,Air Carrier,5,9,0.000307785,0.507692308,0.061207625,"[4511, 7011, 3246, 4722, 3009, 3010, 3297, 3590, 4582]"
3246,AIRLINES,Travel,Air Carrier,5,8,0.000161282,0.503816794,0.053748116,"[4722, 4511, 3245, 7011, 3009, 3010, 3297, 3562]"
3079,AIRLINES,Travel,Air Carrier,0,2,0,0.48,0.023092545,"[4722, 7011]"
3174,AIRLINES,Travel,Air Carrier,3,6,0,0.501901141,0.054193655,"[7011, 3001, 3009, 3260, 4511, 4722]"
3297,AIRLINES,Travel,Air Carrier,5,6,0,0.492537313,0.040031397,"[3009, 3010, 3245, 3246, 4722, 7011]"
3072,AIRLINES,Travel,Air Carrier,1,5,0,0.492537313,0.04354693,"[4511, 4722, 7011, 3501, 4131]"
3211,AIRLINES,Travel,Air Carrier,2,9,0.000289931,0.503816794,0.057415865,"[7011, 4511, 4722, 3000, 3005, 3016, 3029, 3690, 4411]"
3136,AIRLINES,Travel,Air Carrier,,0,,,,
3206,AIRLINES,Travel,Air Carrier,0,1,0,0.435643564,0.011141977,[4722]
3132,AIRLINES,Travel,Air Carrier,3,5,0,0.494382022,0.041329425,"[3256, 3260, 4511, 4722, 7011]"
3052,LANCHILE,Travel,Air Carrier,0,2,0,0.48,0.023092545,"[4722, 7011]"
3261,AIR CHINA,Travel,Air Carrier,0,7,5.23E-05,0.501901141,0.052407051,"[4511, 4722, 7011, 3008, 3009, 3508, 3644]"
3020,AIR-INDIA,Travel,Air Carrier,4,12,0,0.505747126,0.07131786,"[3000, 3009, 3503, 3504, 3512, 3543, 3545, 3590, 3659, 4511, 7011, 7012]"
3008,LUFTHANSA,Travel,Air Carrier,0,9,0.000243805,0.507692308,0.064344915,"[3009, 4511, 4722, 7011, 3180, 3261, 3508, 3644, 4582]"
3066,SOUTHWEST,Travel,Air Carrier,1,5,0,0.481751825,0.040105262,"[3000, 3501, 4131, 4511, 7011]"
3043,AER LINGUS,Travel,Air Carrier,0,2,0,0.459930314,0.022170308,"[4722, 4511]"
3076,AEROMEXICO,Travel,Air Carrier,0,3,0,0.481751825,0.029507858,"[3058, 4722, 7011]"
3009,AIR CANADA,Travel,Air Carrier,0,75,0.107557183,0.694736842,0.268043749,"[4722, 7011, 4511, 3000, 4582, 3180, 3058, 3509, 3001, 3504, 3501, 3581, 3502, 3510, 3513, 3665, 3692, 4411, 3590, 3615, 3640, 3703, 3516, 3642, 3690, 7991, 3008, 3012, 3245, 3246, 3256, 3503, 3508, 3512, 3553, 3562, 4131, 7012, 3007, 3010, 3016, 3020, 3035, 3039, 3047, 3050, 3056, 3075, 3127, 3174, 3260, 3261, 3297, 3530, 3543, 3545, 3552, 3555, 3573, 3637, 3649, 3652, 3659, 3700, 3709, 3715, 3730, 3740, 3751, 3769, 3770, 3771, 3778, 3782, 3783]"
3007,AIR FRANCE,Travel,Air Carrier,0,6,0.002623259,0.501901141,0.05278084,"[4722, 7011, 3000, 3009, 3050, 4511]"
3533,HOTEL IBIS,Travel,Hotel,0,1,0,0.456747405,0.011950569,[7011]
3050,ICELANDAIR,Travel,Air Carrier,0,2,0,0.4125,0.012531875,"[3007, 3009]"
3056,QUEBECAIRE,Travel,Air Carrier,0,1,0,0.411214953,0.010470136,[3009]
